word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
'a,eɪ,,na. 一\nn. 英文字母表的第一字母；【乐】A音\nart. 冠以不定冠词主要表示类别\n[网络] 从；按；一个,,,,,0,0,,,
'A' game,,,[网络] 游戏；一个游戏；一局,,,,,0,0,,,
'Abbāsīyah,,,[地名] 阿巴西耶 ( 埃 ),,,,,0,0,,,
'Abd al Kūrī,,,[地名] 阿卜杜勒库里岛 ( 也门 ),,,,,0,0,,,
'Abd al Mājid,,,[地名] 阿卜杜勒马吉德 ( 苏丹 ),,,,,0,0,,,
'Abd al Qādir,,,[地名] 阿卜杜勒加迪尔 ( 苏丹 ),,,,,0,0,,,
'Abd Allāh,,,[地名] 阿卜杜拉 ( 苏丹 ),,,,,0,0,,,
"'Abd Allāh, Khawr",,,[地名] 阿卜杜拉水道 ( 科·伊拉 ),,,,,0,0,,,
"'Abd, 'Ayn al",,,[地名] 阿卜德泉 ( 利、沙特 ),,,,,0,0,,,
"'Abde, Al",,,[地名] 阿卜德 ( 黎 ),,,,,0,0,,,
'Abdol,,,[地名] 阿卜杜勒 ( 阿富 ),,,,,0,0,,,
'Abdollāh,,,[地名] 阿卜杜拉 ( 伊朗 ),,,,,0,0,,,
'Abdolābād-e Pā'īn,,,[地名] 下阿卜杜拉巴德 ( 伊朗 ),,,,,0,0,,,
"'Abdul 'Aziz, Jab.",,,[地名] 阿卜杜勒·阿齐兹山 ( 叙 ),,,,,0,0,,,
'Abidīn,,,[地名] 阿比丁 ( 苏丹、叙 ),,,,,0,0,,,
'Abrī,,,[地名] 阿卜里 ( 苏丹 ),,,,,0,0,,,
'Abā al 'Abal,,,[地名] 艾巴阿拜勒 ( 沙特 ),,,,,0,0,,,
'Abādilah,,,[地名] 阿巴迪莱 ( 阿联酋 ),,,,,0,0,,,
"'Abīd, Jazīrat al",,,[地名] 阿比德岛 ( 也 ),,,,,0,0,,,
'Abīdah,,,[地名] 阿比代 ( 也 ),,,,,0,0,,,
'Abīdīyah,,,[地名] 阿比迪耶 ( 苏丹 ),,,,,0,0,,,
'Abūd,,,[地名] 阿布德 ( 巴·以 ),,,,,0,0,,,
'ad,.eɪ 'diː,,n. 【网】打成平局后得分 = advantage. ad in (打成平局后)发球人得分\nabbr. 〈外(=Anno Domini)公元\nprep. 达；根据\n[网络] 阿尔茨海默病(Alzheimer's disease)；活动目录(Active Directory)；广告(advertisement),,,,,0,0,,,
'Adan,,,[地名] 亚丁。英语惯用名Aden ( 也 ),,,,,0,0,,,
'Adan as Sughra,,,[地名] 小亚丁。英语惯用名Little Aden ( 也 ),,,,,0,0,,,
'Adhfā',,,[地名] 阿兹法 ( 沙特 ),,,,,0,0,,,
'Adwān,,,[地名] 阿德旺 ( 叙 ),,,,,0,0,,,
'Afak,,,[地名] 阿费克 ( 伊拉 ),,,,,0,0,,,
'Affār,,,[地名] 阿法尔 ( 也 ),,,,,0,0,,,
'Afrīn,,,[地名] 阿夫林 ( 叙 ),,,,,0,0,,,
'Afula,,,[地名] 阿富拉 ( 巴·以 ),,,,,0,0,,,
'Afīf,,,[地名] 阿菲夫 ( 沙特 ),,,,,0,0,,,
'Aggui,,,[地名] 阿吉 ( 毛里塔 ),,,,,0,0,,,
'Aiea,,,[地名] 艾亚 ( 美 ),,,,,0,0,,,
'Ain Defla,,,[地名] 艾因迪夫拉 ( 阿尔及 ),,,,,0,0,,,
"'Ain el Beida, El",,,[地名] 艾因贝达 ( 叙 ),,,,,0,0,,,
'Ain Fīt,,,[地名] 艾因菲特 ( 叙 ),,,,,0,0,,,
'Ain Hassainia,,,[地名] 艾因哈塞尼耶 ( 阿尔及 ),,,,,0,0,,,
'Ain Ibn Fuhaid,,,[地名] 艾因伊本富海德 ( 沙特 ),,,,,0,0,,,
'Ain M'Lila,,,[地名] 艾因姆利拉 ( 阿尔及 ),,,,,0,0,,,
'air,eə(r),,n. 空气；空中；天空；神态\nv. 晾；播出；播送；晾干\n[网络] 大气；执行环境(Adobe Integrated Runtime)；青空,,,,,0,0,,,
'aircut,,,[网络] 空气剪；侧边透气开口剪裁；空切削,,,,,0,0,,,
'aircuts,,,[网络] 空行程切削法,,,,,0,0,,,
'Ajab Allāh,,,[地名] 阿杰卜安拉 ( 苏丹 ),,,,,0,0,,,
'Ajab Shīr,,,[地名] 阿贾卜希尔 ( 伊朗 ),,,,,0,0,,,
'Ajamī,,,[地名] 阿杰米 ( 叙 ),,,,,0,0,,,
'Ajlūn,,,[地名] 阿杰隆 ( 约 ),,,,,0,0,,,
"'Ajmāh, Jab.al",,,[地名] 阿季迈山 ( 埃 ),,,,,0,0,,,
'Ajmān,,,[地名] 阿治曼 ( 阿联酋 ),,,,,0,0,,,
'Akko,,,[地名] 阿科 ( 巴·以 ),,,,,0,0,,,
"'Akkār, Jūn el",,,[地名] 阿卡尔湾 ( 黎 ),,,,,0,0,,,
'Akkārī,,,[地名] 阿卡里 ( 叙 ),,,,,0,0,,,
"'Akmah, Jab.",,,[地名] 阿克迈山 ( 埃 ),,,,,0,0,,,
'Alalākeiki Channel,,,[地名] 阿拉拉凯基海峡 ( 美 ),,,,,0,0,,,
'Alavī,,,[地名] 阿拉维 ( 伊朗 ),,,,,0,0,,,
'Alem Ketema,,,[地名] 阿勒姆克特马 ( 埃塞 ),,,,,0,0,,,
'Alenuihāhā Channel,,,[地名] 阿莱努伊哈哈海峡 ( 美 ),,,,,0,0,,,
'alf,ælf,,na. 'alf = half\n[网络] 急性肝衰竭(acute liver failure)；动物解放阵线(Animal Liberation Front)；急性肝功能衰竭,,,,,0,0,,,
'Ali Sabīh,,,[地名] 阿里萨比赫 ( 吉布 ),,,,,0,0,,,
'Ali Sabīh Dist.,,,[地名] 阿里萨比赫区 ( 吉布 ),,,,,0,0,,,
'all,ɔ:l,,pron. 一切；全部；大家；全都\nadj. 一切；全；整个；全体\nadv. 都；全部；全身；那么\nn. 一切；全部；全体\n[网络] 所有；所有的；全部的,,,,,0,0,,,
'allo,'æləʊ,,adj. 紧密相联的；【化】同分异构的\n[网络] 别；异常；阿路和如,,,,,0,0,,,
"'Allān, Nahr al",,,[地名] 阿兰河 ( 叙 ),,,,,0,0,,,
"'Allāqī, Wādīal",,,[地名] 阿拉吉干河 ( 苏丹·埃 ),,,,,0,0,,,
'Almā,,,[地名] 阿勒马 ( 叙 ),,,,,0,0,,,
'alves,,,[网络] 阿尔维斯；阿维斯；丹尼尔艾维斯,,,,,0,0,,,
'Alyā',,,[地名] 阿勒亚 ( 沙特 ),,,,,0,0,,,
'Alā'āl,,,[地名] 阿勒阿勒 ( 约 ),,,,,0,0,,,
"'Alā, Jab.Al",,,[地名] 阿拉山 ( 叙 ),,,,,0,0,,,
'Alāmarvdasht,,,[地名] 阿拉马夫达什特 ( 伊朗 ),,,,,0,0,,,
'Alāqān,,,[地名] 阿拉甘 ( 沙特 ),,,,,0,0,,,
'Alī,,,[地名] 阿里 ( 巴林、伊拉 ),,,,,0,0,,,
'Alī Afghān,,,[地名] 阿里阿富汗 ( 阿富 ),,,,,0,0,,,
'Alī an Noman,,,[地名] 阿里努曼 ( 伊拉 ),,,,,0,0,,,
'Alī Kheyl,,,[地名] 阿里海勒 ( 阿富 ),,,,,0,0,,,
'Alī Mardan,,,[地名] 阿里马尔丹 ( 阿富 ),,,,,0,0,,,
'Alī Shah,,,[地名] 阿里沙阿 ( 伊朗 ),,,,,0,0,,,
"'Alījūq, Kūh-e",,,[地名] 阿里朱格山 ( 伊朗 ),,,,,0,0,,,
'Alīkheyl,,,[地名] 阿里海勒 ( 阿富 ),,,,,0,0,,,
'Alīyāb,,,[地名] 阿利亚卜 ( 苏丹 ),,,,,0,0,,,
'Alīābād,,,[地名] 阿里阿巴德 ( 阿富、伊朗 ),,,,,0,0,,,
"'Alīābād, Dasht-e",,,[地名] 阿里阿巴德平原 ( 阿富 ),,,,,0,0,,,
"'Alīābād, Kūh-e",,,[地名] 阿里阿巴德山 ( 伊朗 ),,,,,0,0,,,
'Alīābād-e Mollā Alī,,,[地名] 阿里阿巴德毛拉阿里 ( 伊朗 ),,,,,0,0,,,
'am,ˌeɪ'em,,abbr. 调幅；振幅调制；议员（威尔士议会成员）\n[网络] 调幅(amplitude modulation)；上午(a.m.)；是,,,,,0,0,,,
'Amara East,,,[地名] 东阿马拉 ( 苏丹 ),,,,,0,0,,,
'Amara West,,,[地名] 西阿马拉 ( 苏丹 ),,,,,0,0,,,
"'Amirīyah, Jab.",,,[地名] 阿米里耶山 ( 苏丹 ),,,,,0,0,,,
'ammer,,,[网络] 默河；阿默尔河,,,,,0,0,,,
'ammers,,,[网络] “沉默,,,,,0,0,,,
'ammiyya,,"'ammiyya\nColloquial, non-standard Arabic (used especially of eastern Arabic dialects).\n",,,,,,0,0,,,
'Ammān,,,[地名] 安曼 ( 约 ),,,,,0,0,,,
"'Ammār, Tall",,,[地名] 阿马尔山 ( 叙 ),,,,,0,0,,,
'Ammīq,,,[地名] 阿米格 ( 黎 ),,,,,0,0,,,
'Amrān,,,[地名] 阿姆兰 ( 也 ),,,,,0,0,,,
'Amrīyah,,,[地名] 阿姆里耶 ( 苏丹 ),,,,,0,0,,,
'ams,,,n. 美国数学学会\n[网络] 阿姆斯特丹(Amsterdam)；阿尔法磁谱仪(Alpha Magnetic Spectrometer)；美国数学学会(American Mathematical Society),,,,,0,0,,,
'Amādīyah,,,[地名] 阿马迪耶 ( 伊拉 ),,,,,0,0,,,
'Amīnābād,,,[地名] 阿明阿巴德 ( 伊朗 ),,,,,0,0,,,
'Amūd,,,[地名] 阿穆德 ( 苏丹 ),,,,,0,0,,,
"'Amūd, Jab.",,,[地名] 阿穆德山 ( 沙特 ),,,,,0,0,,,
'Anabtā,,,[地名] 阿奈卜塔 ( 巴·以 ),,,,,0,0,,,
'Anbarān,,,[地名] 安巴兰 ( 伊朗 ),,,,,0,0,,,
'and,ənd,,conj. 与；和；而；又\nn. 附加条件；附加细节\n[网络] 并且；而且；及,,,,,0,0,,,
'ands,ənd,,conj. 同；兼；又；然后\nn. 附加条件；附加细节\n[网络] Afghanistan National Development Strategy; 附加条款; 野草,,,,,0,0,0:'and/1:3,,
'andsome,,,na. (比那个)还要多一些\n[网络] 爱死你,,,,,0,0,,,
'andsomes,,plural of 'andsome,('andsome 的复数) na. (比那个)还要多一些\n[网络] 爱死你,,,,,0,0,,,
'ang,,,[网络] 血管紧张素(angiotensin)；血管生成素(angiogenin)；洪,,,,,0,0,,,
'angs,,,[网络] 设计小学；血管生成素；生成因子,,,,,0,0,0:'ang/1:3,,
'appen,,,[网络] 阿彭；急性盲肠炎,,,,,0,0,p:'appened/d:'appened/i:'appening/3:'appens,,
'appened,,past tense of 'appen,('appen 的过去时) [网络] 阿彭；急性盲肠炎,,,,,0,0,0:'appen/1:p,,
'appening,,-ing form of 'appen,('appen 的现在分词) [网络] 阿彭；急性盲肠炎,,,,,0,0,0:'appen/1:i,,
'appens,,-s form of 'appen,('appen 的第三人称 -s形式) [网络] 阿彭；急性盲肠炎,,,,,0,0,0:'appen/1:3,,
'appier,,comparative of 'appy,('appy 的比较级) [网络] 阿皮；快乐的；开心,,,,,0,0,,,
'appiest,,,[网络] 最可爱,,,,,0,0,,,
'appy,,,[网络] 阿皮；快乐的；开心,,,,,0,0,,,
"'Aqaba, G.of",,,[地名] 亚喀巴湾 ( 红海 ),,,,,0,0,,,
'Aqabah,,,[地名] 阿盖拜 ( 伊拉 ),,,,,0,0,,,
"'Aqabah, Birkat al",,,[地名] 阿盖拜池 ( 沙特 ),,,,,0,0,,,
'Aqarbāt,,,[地名] 阿盖尔巴特 ( 叙 ),,,,,0,0,,,
'Aqarqūf,,,[地名] 阿盖尔古夫 ( 伊拉 ),,,,,0,0,,,
'Aqdā,,,[地名] 阿格达 ( 伊朗 ),,,,,0,0,,,
'Aqrabah,,,[地名] 阿格赖拜 ( 叙 ),,,,,0,0,,,
'Aqrah,,,[地名] 阿格拉 ( 伊拉 ),,,,,0,0,,,
"'Aqīmī, Sha'īb al",,,[地名] 阿吉米干河 ( 沙特 ),,,,,0,0,,,
'Aqīq,,,[地名] 阿基克 ( 苏丹 ),,,,,0,0,,,
"'Aqīq, Khalīj",,,[地名] 阿基克湾 ( 苏丹 ),,,,,0,0,,,
"'Aqīq, Wādī al",,,[地名] 阿基克干河 ( 沙特 ),,,,,0,0,,,
'Ar'ar,,,[地名] 阿尔阿尔 ( 沙特 ),,,,,0,0,,,
"'Ar'ar, Wādī",,,[地名] 阿尔阿尔干河 ( 沙特·伊拉 ),,,,,0,0,,,
'Ar'ara,,,[地名] 阿尔阿拉 ( 巴·以 ),,,,,0,0,,,
'Arab,,,[地名] 阿拉伯 ( 苏丹 ),,,,,0,0,,,
'Arab Kheyl,,,[地名] 阿拉伯海勒 ( 阿富 ),,,,,0,0,,,
"'Arab, Khalīj al",,,[地名] 阿拉伯湾 ( 埃 ),,,,,0,0,,,
"'Arabah, Jab.al",,,[地名] 阿拉伯山 ( 黎 ),,,,,0,0,,,
"'Arabah, Wādī al(Ha 'Arava)",,,[地名] 阿拉伯谷地 ( 约·巴·以 ),,,,,0,0,,,
'Arabestān,,,[地名] 阿拉伯斯坦(地区) ( 伊朗 ),,,,,0,0,,,
'Arabābād,,,[地名] 阿拉巴巴德 ( 伊朗 ),,,,,0,0,,,
"'Arabīyah, Al",,,[地名] 阿拉伯岛 ( 海湾 ),,,,,0,0,,,
'Arad,,,[地名] 阿拉德 ( 巴·以 ),,,,,0,0,,,
'Arba Gugu Terara,,,[地名] 阿尔巴古古山 ( 埃塞 ),,,,,0,0,,,
'arbour,'ɑː(r)bə(r),,n. （花园、院子中由藤蔓在架子上攀缘而成的）棚架\n[网络] 心轴；凉亭；柄轴,,,,,0,0,,,
'arbours,'ɑː(r)bə(r),,n. 藤架；花园；〈废〉草地\n[网络] 凉亭,,,,,0,0,,,
'ard,ɑ:d,,abbr. (=acute respiratory disease)急性呼吸系统疾病\n[网络] 德国电视一台；美国研究与发展公司(American Research and Development)；德国公共广播联盟,,,,,0,0,,,
'Are'are,,,[网络] '是',,,,,0,0,,,
'arf,,,[网络] 东盟地区论坛(ASEAN Regional Forum)；急性肾功能衰竭(acute renal failure)；急性肾衰竭,,,,,0,0,,,
'Arfajah,,,[地名] 阿尔费杰 ( 沙特 ),,,,,0,0,,,
'Arjah,,,[地名] 阿尔杰 ( 沙特 ),,,,,0,0,,,
'Arry,,,[网络] 阿里；数组；阵列,,,,,0,0,,,
'art,ɑː(r)t,,n. 艺术；技术；技巧；表演艺术\nv. 对一人讲话时用\n[网络] 艺术(Artistic)；美术；辅助生殖技术(assisted reproductive technology),,,,,0,0,,,
'Arâguîb,,,[地名] 阿拉吉卜 ( 毛里塔 ),,,,,0,0,,,
'Arādah,,,[地名] 阿拉代 ( 阿联酋 ),,,,,0,0,,,
'Arīs,,,[地名] 阿里斯 ( 苏丹 ),,,,,0,0,,,
'as,əz,,prep. 作为；像；当作；如同\nconj. 随着；正如；因为；由于\nadv. 如同；（指事情以同样的方式发生）和…一样\nn. “A”的复数；阿斯\n[网络] 砷；动脉粥样硬化(atherosclerosis)；强直性脊柱炎(ankylosing spondylitis),,,,,0,0,,,
'Asal,,,[地名] 阿塞勒 ( 埃 ),,,,,0,0,,,
'Ashah,,,[地名] 阿舍 ( 叙 ),,,,,0,0,,,
'Ashqūt,,,[地名] 阿什古特 ( 黎 ),,,,,0,0,,,
"'Askar, Ra's",,,[地名] 阿斯凯尔角 ( 沙特 ),,,,,0,0,,,
"'Assāfīyah, Bir al",,,[地名] 阿萨菲耶井 ( 沙特 ),,,,,0,0,,,
"'Asīs, R'as",,,[地名] 阿齐兹角 ( 苏丹 ),,,,,0,0,,,
'at,ət,,prep. 朝；向；在（某处）；在（表示学习或工作地点）\nabbr. (=astatine)【化】(=Air Transport)\n[网络] 自动变速箱(Automatic Transmission)；奥地利(Austria)；砹,,,,,0,0,,,
'Ataibah,,,[地名] 阿泰拜 ( 沙特 ),,,,,0,0,,,
"'Atarūz, Rujm",,,[地名] 阿泰鲁兹遗址 ( 约 ),,,,,0,0,,,
'Atbāy,,,[地名] 阿特巴伊(地区) ( 苏丹 ),,,,,0,0,,,
'ate,et,,v. eat(吃)的过去式\n[网络] 自动测试设备(Automatic Test Equipment)；自动化测试设备(Automated Test Equipment)；吃的过去式,,,,,0,0,,,
'ated,,,[网络] 拨给；计算,,,,,0,0,0:'at/1:p,,
'ates,,,[网络] 含水层储能(Aquifer Thermal Energy Storage)；管堵；意大利,,,,,0,0,0:'ate/1:3,,
'Atlit,,,[地名] 阿特利特 ( 巴·以 ),,,,,0,0,,,
'ats,,,abbr. (=Air Training School)空军训练学校\n[网络] 胸科学会；自动测试系统(Auto-Test System)；胸科协会,,,,,0,0,0:'at,,
"'Atshān, Shatt al",,,[地名] 阿特尚河 ( 伊拉 ),,,,,0,0,,,
'Atāq,,,[地名] 阿塔格 ( 也 ),,,,,0,0,,,
"'Atāqah, Jab.",,,[地名] 阿塔盖山 ( 埃 ),,,,,0,0,,,
"'Atār, Khawr",,,[地名] 阿塔尔干河 ( 苏丹 ),,,,,0,0,,,
'Atāābād,,,[地名] 阿塔阿巴德 ( 伊朗 ),,,,,0,0,,,
'Atūd,,,[地名] 阿图德 ( 也 ),,,,,0,0,,,
'ave,ˈɑ:veɪ,,n. 欢迎；一路平安；【天主】同“Ave Maria”\nint. 欢迎；一路平安\n[网络] 大街；大道(avenue)；敏捷虚拟企业(Agile Virtual Enterprise),,,,,0,0,,,
'ave it,,,[网络] “这样吧,,,,,0,0,,,
'aving,,,[网络] 香港澳威门业；储蓄；成人影,,,,,0,0,,,
'Awdah,,,[地名] 奥代 ( 沙特 ),,,,,0,0,,,
"'Awdah, Hawr al",,,[地名] 奥代湖 ( 伊拉 ),,,,,0,0,,,
'Awālī,,,[地名] 阿瓦利 ( 巴林 ),,,,,0,0,,,
'Ayn,,,"[地名] ""泉(阿拉伯语) (  )",,,,,0,0,,,
'Ayn al 'Alab,,,[地名] 艾因阿拉伯 ( 叙 ),,,,,0,0,,,
'Ayn al Ghazalah,,,[地名] 艾因盖扎莱 ( 利 ),,,,,0,0,,,
'Ayn al Julūlāt,,,[地名] 艾因朱卢拉特 ( 利 ),,,,,0,0,,,
'Ayn al Mubārak,,,[地名] 艾因穆巴拉克 ( 沙特 ),,,,,0,0,,,
'Ayn an Naft,,,[地名] 艾因奈夫特 ( 伊拉 ),,,,,0,0,,,
'Ayn Arūs,,,[地名] 艾因阿鲁斯 ( 叙 ),,,,,0,0,,,
'Ayn Dār,,,[地名] 艾因达尔 ( 沙特 ),,,,,0,0,,,
'Ayn Dīwār,,,[地名] 艾因迪瓦尔 ( 叙 ),,,,,0,0,,,
'Ayn Sifnī,,,[地名] 艾因锡夫尼 ( 伊拉 ),,,,,0,0,,,
'Ayn Zālah,,,[地名] 艾因扎莱 ( 伊拉 ),,,,,0,0,,,
"'Ayn, Jab.al",,,[地名] 艾因山 ( 苏丹 ),,,,,0,0,,,
"'Ayn, Ra's al",,,[地名] 艾因角 ( 阿曼 ),,,,,0,0,,,
'Aynīn,,,[地名] 艾宁 ( 沙特 ),,,,,0,0,,,
'Aynūnah,,,[地名] 艾努奈 ( 沙特 ),,,,,0,0,,,
"'Aynūnah, Khalīj",,,[地名] 艾努奈湾 ( 沙特 ),,,,,0,0,,,
'Ayoûn el' Atroûss,,,[地名] 阿尤恩阿特鲁斯 ( 毛里塔 ),,,,,0,0,,,
"'Aywat al Manāhīl, Wādī",,,[地名] 艾沃特迈纳希勒干河 ( 也 ),,,,,0,0,,,
'Ayādh,,,[地名] 阿亚兹 ( 也 ),,,,,0,0,,,
'Ayūbkheyl,,,[地名] 阿尤布海勒 ( 阿富 ),,,,,0,0,,,
'Azzān,,,[地名] 阿赞 ( 也 ),,,,,0,0,,,
"'Azzāzīyah, Qaltat al",,,[地名] 阿扎济耶池 ( 利 ),,,,,0,0,,,
'Azzūn,,,[地名] 阿尊 ( 巴·以 ),,,,,0,0,,,
"'Azīz, Bi'r",,,[地名] 阿齐兹井 ( 沙特 ),,,,,0,0,,,
'Azīzkhān,,,[地名] 阿齐兹汗 ( 阿富 ),,,,,0,0,,,
'Azīzābād,,,[地名] 阿齐扎巴德 ( 阿富、伊朗 ),,,,,0,0,,,
'Aïn Abid,,,[地名] 艾因阿比德 ( 阿尔及 ),,,,,0,0,,,
'Aïn Babouche,,,[地名] 艾因巴布什 ( 阿尔及 ),,,,,0,0,,,
'Aïn Barbar,,,[地名] 艾因柏柏尔 ( 阿尔及 ),,,,,0,0,,,
"'Aïn Belbela, Sebkra",,,[地名] 艾因拜勒拜莱盐沼 ( 阿尔及 ),,,,,0,0,,,
'Aïn Ben Khelil,,,[地名] 艾因本海利勒 ( 阿尔及 ),,,,,0,0,,,
'Aïn Beïda,,,[地名] 艾因贝达 ( 阿尔及 ),,,,,0,0,,,
"'Aïn Defla, Wilaya d'",,,[地名] 艾因迪夫拉省 ( 阿尔及 ),,,,,0,0,,,
'Aïn Deheb,,,[地名] 艾因代海卜 ( 阿尔及 ),,,,,0,0,,,
'Aïn el Arbaa,,,[地名] 艾因阿尔巴 ( 阿尔及 ),,,,,0,0,,,
'Aïn el Azel,,,[地名] 艾因阿宰勒 ( 阿尔及 ),,,,,0,0,,,
'Aïn el Hadid,,,[地名] 艾因哈迪德 ( 阿尔及 ),,,,,0,0,,,
'Aïn el Hadjar,,,[地名] 艾因哈杰尔 ( 阿尔及 ),,,,,0,0,,,
'Aïn el Hadjel,,,[地名] 艾因哈杰勒 ( 阿尔及 ),,,,,0,0,,,
'Aïn el Melh,,,[地名] 艾因米勒赫 ( 阿尔及 ),,,,,0,0,,,
'Aïn Fares,,,[地名] 艾因法里斯 ( 阿尔及 ),,,,,0,0,,,
"'Aïn Guergour, Col.D'",,,[地名] 艾因古尔古尔山口 ( 阿尔及 ),,,,,0,0,,,
'Aïn Guettara,,,[地名] 艾因盖塔拉 ( 阿尔及 ),,,,,0,0,,,
